2021-04-14 22:10:55,256 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7823a2f9: startup date [Wed Apr 14 22:10:55 CST 2021]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2021-04-14 22:11:41,800 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7823a2f9: startup date [Wed Apr 14 22:11:41 CST 2021]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2021-04-14 22:11:44,068 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/data/activemq/kahadb] | org.apache.activemq.broker.BrokerService | main
2021-04-14 22:11:44,152 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | main
2021-04-14 22:11:44,167 | INFO  | Recovering from the journal @1:28 | org.apache.activemq.store.kahadb.MessageDatabase | main
2021-04-14 22:11:44,176 | INFO  | Recovery replayed 3 operations from the journal in 0.012 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2021-04-14 22:11:44,187 | INFO  | PListStore:[/data/activemq/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2021-04-14 22:11:44,196 | INFO  | Scheduler Store version 1 loaded | org.apache.activemq.store.kahadb.scheduler.JobSchedulerKahaDBMetaData | main
2021-04-14 22:11:44,305 | INFO  | Recovering from the scheduled job journal @1:28 | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2021-04-14 22:11:44,306 | INFO  | Recovery replayed 1 operations from the journal in 0.001 seconds. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2021-04-14 22:11:44,307 | INFO  | JobSchedulerStore: /data/activemq/localhost/scheduler started. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2021-04-14 22:11:44,354 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:16bd1dadf497-37675-1618409504199-1:1) is starting | org.apache.activemq.broker.BrokerService | main
2021-04-14 22:11:44,370 | INFO  | Listening for connections at: tcp://16bd1dadf497:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-04-14 22:11:44,375 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2021-04-14 22:11:44,381 | INFO  | Listening for connections at: amqp://16bd1dadf497:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-04-14 22:11:44,383 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2021-04-14 22:11:44,392 | INFO  | Listening for connections at: stomp://16bd1dadf497:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-04-14 22:11:44,394 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2021-04-14 22:11:44,398 | INFO  | Listening for connections at: mqtt://16bd1dadf497:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-04-14 22:11:44,403 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2021-04-14 22:11:44,759 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@3561c410{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | main
2021-04-14 22:11:44,864 | INFO  | Listening for connections at ws://16bd1dadf497:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2021-04-14 22:11:44,866 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2021-04-14 22:11:44,869 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:16bd1dadf497-37675-1618409504199-1:1) started | org.apache.activemq.broker.BrokerService | main
2021-04-14 22:11:44,871 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2021-04-14 22:11:46,425 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | main
2021-04-14 22:11:47,018 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2021-04-14 22:11:47,019 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2021-04-14 22:11:47,131 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2021-04-14 22:11:47,645 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | main
2021-04-14 22:11:47,924 | INFO  | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml | /api | main
2021-04-14 22:12:57,501 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7823a2f9: startup date [Wed Apr 14 22:12:57 CST 2021]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2021-04-14 22:12:59,454 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/data/activemq/kahadb] | org.apache.activemq.broker.BrokerService | main
2021-04-14 22:12:59,535 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | main
2021-04-14 22:12:59,540 | INFO  | Recovering from the journal @1:28 | org.apache.activemq.store.kahadb.MessageDatabase | main
2021-04-14 22:12:59,553 | INFO  | Recovery replayed 6 operations from the journal in 0.013 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2021-04-14 22:12:59,571 | INFO  | PListStore:[/data/activemq/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2021-04-14 22:12:59,598 | INFO  | Scheduler Store version 1 loaded | org.apache.activemq.store.kahadb.scheduler.JobSchedulerKahaDBMetaData | main
2021-04-14 22:12:59,711 | INFO  | Recovering from the scheduled job journal @1:28 | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2021-04-14 22:12:59,713 | INFO  | Recovery replayed 2 operations from the journal in 0.002 seconds. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2021-04-14 22:12:59,714 | INFO  | JobSchedulerStore: /data/activemq/localhost/scheduler started. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2021-04-14 22:12:59,802 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:b9571af7e687-35631-1618409579608-1:1) is starting | org.apache.activemq.broker.BrokerService | main
2021-04-14 22:12:59,841 | INFO  | Listening for connections at: tcp://b9571af7e687:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-04-14 22:12:59,847 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2021-04-14 22:12:59,859 | INFO  | Listening for connections at: amqp://b9571af7e687:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-04-14 22:12:59,871 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2021-04-14 22:12:59,876 | INFO  | Listening for connections at: stomp://b9571af7e687:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-04-14 22:12:59,879 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2021-04-14 22:12:59,890 | INFO  | Listening for connections at: mqtt://b9571af7e687:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-04-14 22:12:59,898 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2021-04-14 22:13:00,258 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@3561c410{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | main
2021-04-14 22:13:00,310 | INFO  | Listening for connections at ws://b9571af7e687:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2021-04-14 22:13:00,311 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2021-04-14 22:13:00,312 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:b9571af7e687-35631-1618409579608-1:1) started | org.apache.activemq.broker.BrokerService | main
2021-04-14 22:13:00,314 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2021-04-14 22:13:01,349 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | main
2021-04-14 22:13:01,685 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2021-04-14 22:13:01,693 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2021-04-14 22:13:01,750 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2021-04-14 22:13:02,201 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | main
2021-04-14 22:13:02,415 | INFO  | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml | /api | main
2021-04-14 22:14:40,091 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7823a2f9: startup date [Wed Apr 14 22:14:40 CST 2021]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2021-04-14 22:14:41,685 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/data/activemq/kahadb] | org.apache.activemq.broker.BrokerService | main
2021-04-14 22:14:41,734 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | main
2021-04-14 22:14:41,741 | INFO  | Recovering from the journal @1:28 | org.apache.activemq.store.kahadb.MessageDatabase | main
2021-04-14 22:14:41,750 | INFO  | Recovery replayed 9 operations from the journal in 0.01 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2021-04-14 22:14:41,761 | INFO  | PListStore:[/data/activemq/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2021-04-14 22:14:41,773 | INFO  | Scheduler Store version 1 loaded | org.apache.activemq.store.kahadb.scheduler.JobSchedulerKahaDBMetaData | main
2021-04-14 22:14:41,882 | INFO  | Recovering from the scheduled job journal @1:28 | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2021-04-14 22:14:41,889 | INFO  | Recovery replayed 3 operations from the journal in 0.007 seconds. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2021-04-14 22:14:41,894 | INFO  | JobSchedulerStore: /data/activemq/localhost/scheduler started. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2021-04-14 22:14:42,023 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:454f340f53ae-40971-1618409681779-1:1) is starting | org.apache.activemq.broker.BrokerService | main
2021-04-14 22:14:42,096 | INFO  | Listening for connections at: tcp://454f340f53ae:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-04-14 22:14:42,101 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2021-04-14 22:14:42,111 | INFO  | Listening for connections at: amqp://454f340f53ae:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-04-14 22:14:42,129 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2021-04-14 22:14:42,145 | INFO  | Listening for connections at: stomp://454f340f53ae:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-04-14 22:14:42,149 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2021-04-14 22:14:42,164 | INFO  | Listening for connections at: mqtt://454f340f53ae:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-04-14 22:14:42,166 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2021-04-14 22:14:42,439 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@3561c410{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | main
2021-04-14 22:14:42,531 | INFO  | Listening for connections at ws://454f340f53ae:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2021-04-14 22:14:42,536 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2021-04-14 22:14:42,538 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:454f340f53ae-40971-1618409681779-1:1) started | org.apache.activemq.broker.BrokerService | main
2021-04-14 22:14:42,539 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2021-04-14 22:14:43,472 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | main
2021-04-14 22:14:43,996 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2021-04-14 22:14:43,998 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2021-04-14 22:14:44,104 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2021-04-14 22:14:44,461 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | main
2021-04-14 22:14:44,664 | INFO  | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml | /api | main
2021-04-14 22:16:50,991 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7823a2f9: startup date [Wed Apr 14 22:16:50 CST 2021]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2021-04-14 22:16:52,400 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/data/activemq/kahadb] | org.apache.activemq.broker.BrokerService | main
2021-04-14 22:16:52,449 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | main
2021-04-14 22:16:52,457 | INFO  | Recovering from the journal @1:28 | org.apache.activemq.store.kahadb.MessageDatabase | main
2021-04-14 22:16:52,464 | INFO  | Recovery replayed 12 operations from the journal in 0.008 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2021-04-14 22:16:52,472 | INFO  | PListStore:[/data/activemq/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2021-04-14 22:16:52,484 | INFO  | Scheduler Store version 1 loaded | org.apache.activemq.store.kahadb.scheduler.JobSchedulerKahaDBMetaData | main
2021-04-14 22:16:52,612 | INFO  | Recovering from the scheduled job journal @1:28 | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2021-04-14 22:16:52,614 | INFO  | Recovery replayed 4 operations from the journal in 0.002 seconds. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2021-04-14 22:16:52,615 | INFO  | JobSchedulerStore: /data/activemq/localhost/scheduler started. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2021-04-14 22:16:52,696 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:0b70161e20f4-36401-1618409812494-1:1) is starting | org.apache.activemq.broker.BrokerService | main
2021-04-14 22:16:52,725 | INFO  | Listening for connections at: tcp://0b70161e20f4:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-04-14 22:16:52,729 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2021-04-14 22:16:52,735 | INFO  | Listening for connections at: amqp://0b70161e20f4:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-04-14 22:16:52,740 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2021-04-14 22:16:52,755 | INFO  | Listening for connections at: stomp://0b70161e20f4:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-04-14 22:16:52,757 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2021-04-14 22:16:52,771 | INFO  | Listening for connections at: mqtt://0b70161e20f4:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-04-14 22:16:52,773 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2021-04-14 22:16:53,062 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@3561c410{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | main
2021-04-14 22:16:53,165 | INFO  | Listening for connections at ws://0b70161e20f4:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2021-04-14 22:16:53,167 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2021-04-14 22:16:53,172 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:0b70161e20f4-36401-1618409812494-1:1) started | org.apache.activemq.broker.BrokerService | main
2021-04-14 22:16:53,173 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2021-04-14 22:16:54,139 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | main
2021-04-14 22:16:54,492 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2021-04-14 22:16:54,493 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2021-04-14 22:16:54,622 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2021-04-14 22:16:55,049 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | main
2021-04-14 22:16:55,142 | INFO  | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml | /api | main
2021-04-14 22:18:39,102 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7823a2f9: startup date [Wed Apr 14 22:18:39 CST 2021]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2021-04-14 22:18:41,087 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/data/activemq/kahadb] | org.apache.activemq.broker.BrokerService | main
2021-04-14 22:18:41,172 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | main
2021-04-14 22:18:41,182 | INFO  | Recovering from the journal @1:28 | org.apache.activemq.store.kahadb.MessageDatabase | main
2021-04-14 22:18:41,197 | INFO  | Recovery replayed 15 operations from the journal in 0.015 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2021-04-14 22:18:41,213 | INFO  | PListStore:[/data/activemq/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2021-04-14 22:18:41,237 | INFO  | Scheduler Store version 1 loaded | org.apache.activemq.store.kahadb.scheduler.JobSchedulerKahaDBMetaData | main
2021-04-14 22:18:41,351 | INFO  | Recovering from the scheduled job journal @1:28 | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2021-04-14 22:18:41,356 | INFO  | Recovery replayed 5 operations from the journal in 0.005 seconds. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2021-04-14 22:18:41,361 | INFO  | JobSchedulerStore: /data/activemq/localhost/scheduler started. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2021-04-14 22:18:41,429 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:f3309586c926-37765-1618409921248-1:1) is starting | org.apache.activemq.broker.BrokerService | main
2021-04-14 22:18:41,464 | INFO  | Listening for connections at: tcp://f3309586c926:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-04-14 22:18:41,473 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2021-04-14 22:18:41,481 | INFO  | Listening for connections at: amqp://f3309586c926:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-04-14 22:18:41,483 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2021-04-14 22:18:41,507 | INFO  | Listening for connections at: stomp://f3309586c926:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-04-14 22:18:41,510 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2021-04-14 22:18:41,531 | INFO  | Listening for connections at: mqtt://f3309586c926:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-04-14 22:18:41,536 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2021-04-14 22:18:41,810 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@3561c410{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | main
2021-04-14 22:18:41,858 | INFO  | Listening for connections at ws://f3309586c926:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2021-04-14 22:18:41,858 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2021-04-14 22:18:41,860 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:f3309586c926-37765-1618409921248-1:1) started | org.apache.activemq.broker.BrokerService | main
2021-04-14 22:18:41,861 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2021-04-14 22:18:42,886 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | main
2021-04-14 22:18:43,184 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2021-04-14 22:18:43,185 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2021-04-14 22:18:43,255 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2021-04-14 22:18:43,826 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | main
2021-04-14 22:18:44,103 | INFO  | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml | /api | main
2021-04-14 22:20:43,759 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7823a2f9: startup date [Wed Apr 14 22:20:43 CST 2021]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2021-04-14 22:20:45,812 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/data/activemq/kahadb] | org.apache.activemq.broker.BrokerService | main
2021-04-14 22:20:45,904 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | main
2021-04-14 22:20:45,918 | INFO  | Recovering from the journal @1:28 | org.apache.activemq.store.kahadb.MessageDatabase | main
2021-04-14 22:20:45,944 | INFO  | Recovery replayed 18 operations from the journal in 0.027 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2021-04-14 22:20:45,959 | INFO  | PListStore:[/data/activemq/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2021-04-14 22:20:45,970 | INFO  | Scheduler Store version 1 loaded | org.apache.activemq.store.kahadb.scheduler.JobSchedulerKahaDBMetaData | main
2021-04-14 22:20:46,079 | INFO  | Recovering from the scheduled job journal @1:28 | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2021-04-14 22:20:46,081 | INFO  | Recovery replayed 6 operations from the journal in 0.002 seconds. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2021-04-14 22:20:46,083 | INFO  | JobSchedulerStore: /data/activemq/localhost/scheduler started. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
